order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd
1,2012-03-19 10:42:46.000,1,1,1,49.99,19.49
2,2012-03-19 19:27:37.000,2,1,1,49.99,19.49
3,2012-03-20 06:44:45.000,3,1,1,49.99,19.49
4,2012-03-20 09:41:45.000,4,1,1,49.99,19.49
5,2012-03-20 11:28:15.000,5,1,1,49.99,19.49
6,2012-03-20 16:12:47.000,6,1,1,49.99,19.49
7,2012-03-20 17:03:41.000,7,1,1,49.99,19.49
8,2012-03-20 23:35:27.000,8,1,1,49.99,19.49
9,2012-03-21 02:35:01.000,9,1,1,49.99,19.49
10,2012-03-21 06:45:58.000,10,1,1,49.99,19.49
11,2012-03-21 07:28:02.000,11,1,1,49.99,19.49
12,2012-03-21 08:21:33.000,12,1,1,49.99,19.49
13,2012-03-21 08:45:32.000,13,1,1,49.99,19.49
14,2012-03-21 09:12:05.000,14,1,1,49.99,19.49
15,2012-03-21 16:40:06.000,15,1,1,49.99,19.49
16,2012-03-21 17:13:05.000,16,1,1,49.99,19.49
17,2012-03-21 20:28:11.000,17,1,1,49.99,19.49
18,2012-03-22 06:15:33.000,18,1,1,49.99,19.49
19,2012-03-22 10:03:49.000,19,1,1,49.99,19.49
20,2012-03-22 17:49:57.000,20,1,1,49.99,19.49
21,2012-03-22 20:33:40.000,21,1,1,49.99,19.49
22,2012-03-23 12:09:46.000,22,1,1,49.99,19.49
23,2012-03-23 14:16:23.000,23,1,1,49.99,19.49
24,2012-03-23 17:14:48.000,24,1,1,49.99,19.49
25,2012-03-24 09:21:40.000,25,1,1,49.99,19.49
26,2012-03-25 08:32:41.000,26,1,1,49.99,19.49
27,2012-03-25 08:51:27.000,27,1,1,49.99,19.49
28,2012-03-25 16:00:12.000,28,1,1,49.99,19.49
29,2012-03-25 21:23:16.000,29,1,1,49.99,19.49
30,2012-03-26 10:03:39.000,30,1,1,49.99,19.49
31,2012-03-26 10:25:44.000,31,1,1,49.99,19.49
32,2012-03-26 14:13:56.000,32,1,1,49.99,19.49
33,2012-03-26 16:00:19.000,33,1,1,49.99,19.49
34,2012-03-26 17:55:25.000,34,1,1,49.99,19.49
35,2012-03-26 18:06:39.000,35,1,1,49.99,19.49
36,2012-03-26 18:54:41.000,36,1,1,49.99,19.49
37,2012-03-26 19:19:25.000,37,1,1,49.99,19.49
38,2012-03-26 21:13:07.000,38,1,1,49.99,19.49
39,2012-03-27 15:18:43.000,39,1,1,49.99,19.49
40,2012-03-27 16:53:30.000,40,1,1,49.99,19.49
41,2012-03-28 08:30:06.000,41,1,1,49.99,19.49
42,2012-03-28 09:56:58.000,42,1,1,49.99,19.49
43,2012-03-28 16:55:52.000,43,1,1,49.99,19.49
